-0.121097 -95.055183,59.900058 78.755107,-60.019052 91.179640,39.989112 -62.038857,19.960339 113.650109,-79.460942 -84.703090,79.421930 -15.469562,-20.187454 146.270801,-40.173201 -38.076082,59.900058 168.755107,-60.019052 -178.820360,-0.121097 -5.055183,19.960339 -156.349891,-79.460942 5.296910,39.989112 27.961143,-20.187454 -123.729199,-40.173201 51.923918,79.421930 74.530438
77.542705 -83.988337,-18.196854 80.734953,-42.151868 -103.691085,61.867361 102.835130,-58.056481 115.316516,-2.116143 -70.576224,21.953226 138.110908,-81.287579 -64.545626,38.003727 -37.641010,-18.196854 170.734953,-42.151868 -13.691085,77.542705 6.011663,-58.056481 -154.683484,-2.116143 19.423776,61.867361 -167.164870,-81.287579 25.454374,38.003727 52.358990,21.953226 -131.889092
79.260297 -81.304701,-20.014774 80.736917,-40.344931 -103.616189,60.070852 103.190512,-59.848873 115.615333,-0.294201 -70.587643,20.133270 138.116216,-79.621508 -60.548857,39.816897 -37.578823,-20.014774 170.736917,-40.344931 -13.616189,79.260297 8.695299,-59.848873 -154.384667,-0.294201 19.412357,60.070852 -166.809488,-79.621508 29.451143,39.816897 52.421177,20.133270 -131.883784
80.943070 -77.579879,-21.832023 80.741822,-38.536872 -103.551672,58.272228 103.496309,-61.639078 115.962262,1.527871 -70.599091,18.312868 138.118536,-77.917120 -57.692157,41.629137 -37.506530,-21.832023 170.741822,-38.536872 -13.551672,80.943070 12.420121,-61.639078 -154.037738,1.527871 19.400909,58.272228 -166.503691,-77.917120 32.307843,41.629137 52.493470,18.312868 -131.881464
82.567531 -72.154826,-23.648560 80.750038,-36.727733 -103.496399,56.471721 103.760517,-63.426816 116.367026,3.350020 -70.610341,16.492068 138.118216,-76.188451 -55.567288,43.440399 -37.422867,-23.648560 170.750038,-36.727733 -13.496399,82.567531 17.845174,-63.426816 -153.632974,3.350020 19.389659,56.471721 -166.239483,-76.188451 34.432712,43.440399 52.577133,16.492068 -131.881784
84.085636 -63.783659,-25.464339 80.761972,-34.917552 -103.449378,54.669519 103.989523,-65.211721 116.842105,5.172194 -70.621162,14.670918 138.115580,-74.443448 -53.936175,45.250629 -37.326371,-25.464339 170.761972,-34.917552 -13.449378,84.085636 26.216341,-65.211721 -153.157895,5.172194 19.378838,54.669519 -166.010477,-74.443448 36.063825,45.250629 52.673629,14.670918 -131.884420
85.391259 -50.149330,-27.279321 80.778066,-33.106370 -103.409737,52.865769 104.188491,-66.993308 117.403787,6.994339 -70.631320,12.849470 138.110932,-72.686903 -52.652294,47.059772 -37.215340,-27.279321 170.778066,-33.106370 -13.409737,85.391259 39.850670,-66.993308 -152.596213,6.994339 19.368680,52.865769 -165.811509,-72.686903 37.347706,47.059772 52.784660,12.849470 -131.889068
86.255306 -28.235038,-29.093464 80.798807,-31.294223 -103.376703,51.060593 104.361641,-68.770920 118.073726,8.816403 -70.640579,11.027774 138.104555,-70.921854 -51.621147,48.867765 -37.087782,-29.093464 170.798807,-31.294223 -13.376703,86.255306 61.764962,-68.770920 -151.926274,8.816403 19.359421,51.060593 -165.638359,-70.921854 38.378853,48.867765 52.912218,11.027774 -131.895445
86.349549 -0.094807,-30.906729 80.824734,-29.481151 -103.349592,49.254094 104.512456,-70.543653 118.881320,10.638332 -70.648692,9.205880 138.096720,-69.150314 -50.779307,50.674536 -36.941348,-30.906729 170.824734,-29.481151 -13.349592,86.349549 89.905193,-70.543653 -151.118680,10.638332 19.351308,49.254094 -165.487544,-69.150314 39.220693,50.674536 53.058652,9.205880 -131.903280
85.623975 23.692743,-32.719077 80.856447,-27.667192 -103.327789,47.446356 104.643838,-72.310232 119.867464,12.460075 -70.655402,7.383840 138.087686,-67.373659 -50.082735,52.480002 -36.773243,-32.719077 170.856447,-27.667192 -13.327789,85.623975 113.692743,-72.310232 -150.132536,12.460075 19.344598,47.446356 -165.356162,-67.373659 39.917265,52.480002 53.226757,7.383840 -131.912314
84.387989 38.870041,-34.530469 80.894614,-25.852387 -103.310744,45.637453 104.758223,-74.068808 121.090671,14.281581 -70.660443,5.561708 138.077699,-65.592860 -49.499951,54.284066 -36.580121,-34.530469 170.894614,-25.852387 -13.310744,84.387989 128.870041,-74.068808 -148.909329,14.281581 19.339557,45.637453 -165.241777,-65.592860 40.500049,54.284066 53.419879,5.561708 -131.922301
82.903373 48.126160,-36.340866 80.939988,-24.036774 -103.297960,43.827450 104.857674,-75.816606 122.637448,16.102798 -70.663534,3.739536 138.067000,-63.808618 -49.007882,56.086611 -36.357934,-36.340866 170.939988,-24.036774 -13.297960,82.903373 138.126160,-75.816606 -147.362552,16.102798 19.336466,43.827450 -165.142326,-63.808618 40.992118,56.086611 53.642066,3.739536 -131.933000
81.296345 54.048067,-38.150232 80.993418,-22.220396 -103.288984,42.016405 104.943950,-77.549296 124.640713,17.923677 -70.664375,1.917377 138.055823,-62.021451 -48.589247,57.887494 -36.101742,-38.150232 170.993418,-22.220396 -13.288984,81.296345 144.048067,-77.549296 -145.359287,17.923677 19.335625,42.016405 -165.056050,-62.021451 41.410753,57.887494 53.898258,1.917377 -131.944177
79.623517 58.066873,-39.958525 81.055869,-20.403295 -103.283404,40.204370 105.018561,-79.259782 127.314157,19.744168 -70.662648,0.095284 138.044398,-60.231747 -48.230853,59.686539 -35.805445,-39.958525 171.055869,-20.403295 -13.283404,79.623517 148.066873,-79.259782 -142.685843,19.744168 19.337352,40.204370 -164.981439,-60.231747 41.769147,59.686539 54.194555,0.095284 -131.955602
77.912060 60.935206,-41.765706 81.128443,-18.585515 -103.280841,38.391394 105.082811,-80.935707 131.019820,21.564224 -70.658010,-1.726690 138.032953,-58.439803 -47.922458,61.483523 -35.461432,-41.765706 171.128443,-18.585515 -13.280841,77.912060 150.935206,-80.935707 -138.980180,21.564224 19.341990,38.391394 -164.917189,-58.439803 42.077542,61.483523 54.538568,-1.726690 -131.967047
76.176195 63.066394,-43.571731 81.212406,-16.767100 -103.280945,36.577525 105.137834,-82.553927 136.407302,23.383797 -70.650090,-3.548491 138.021717,-56.645848 -47.655990,63.278161 -35.060073,-43.571731 171.212406,-16.767100 -13.280945,76.176195 153.066394,-82.553927 -133.592698,23.383797 19.349910,36.577525 -164.862166,-56.645848 42.344010,63.278161 54.939927,-3.548491 -131.978283
74.423956 64.700962,-45.376554 81.309222,-14.948097 -103.283390,34.762806 105.184622,-84.067271 144.701201,25.202840 -70.638485,-5.370067 138.010920,-54.850062 -47.425006,65.070086 -34.589009,-45.376554 171.309222,-14.948097 -13.283390,74.423956 154.700962,-84.067271 -125.298799,25.202840 19.361515,34.762806 -164.815378,-54.850062 42.574994,65.070086 55.410991,-5.370067 -131.989080
72.660183 65.986684,-47.180125 81.420592,-13.128553 -103.287873,32.947283 105.224046,-85.371922 158.175998,27.021308 -70.622755,-7.191366 138.000794,-53.052591 -47.224294,66.858809 -34.032116,-47.180125 171.420592,-13.128553 -13.287873,72.660183 155.986684,-85.371922 -111.824002,27.021308 19.377245,32.947283 -164.775954,-53.052591 42.775706,66.858809 55.967884,-7.191366 -131.999206
70.887942 67.018734,-48.982386 81.548508,-11.308516 -103.294108,31.130998 105.256878,-86.243931 179.827936,28.839156 -70.602415,-9.012335 137.991578,-51.253550 -47.049600,68.643676 -33.367970,-48.982386 171.548508,-11.308516 -13.294108,70.887942 157.018734,-86.243931 -90.172064,28.839156 19.397585,31.130998 -164.743122,-51.253550 42.950400,68.643676 56.632030,-9.012335 -132.008422
69.109265 67.860917,-50.783272 81.695321,-9.488035 -103.301824,29.313994 105.283803,-86.358112 -152.181259,30.656341 -70.576930,-10.832924 137.983519,-49.453035 -46.897410,70.423787 -32.567493,-50.783272 171.695321,-9.488035 -13.301824,69.109265 157.860917,-86.358112 -62.181259,30.656341 19.423070,29.313994 -164.716197,-49.453035 43.102590,70.423787 57.432507,-10.832924 -132.016481
67.325541 68.557495,-52.582707 81.863823,-7.667160 -103.310761,27.496315 105.305433,-85.654323 -128.263499,32.472818 -70.545704,-12.653082 137.976872,-47.651127 -46.764800,72.197874 -31.590255,-52.582707 171.863823,-7.667160 -13.310761,67.325541 158.557495,-85.654323 -38.263499,32.472818 19.454296,27.496315 -164.694567,-47.651127 43.235200,72.197874 58.409745,-12.653082 -132.023128
65.537754 69.140081,-54.380599 82.057359,-5.845943 -103.320673,25.678004 105.322319,-84.434633 -112.911314,34.288545 -70.508073,-14.472759 137.971904,-45.847892 -46.649312,73.964104 -30.378445,-54.380599 172.057359,-5.845943 -13.320673,65.537754 159.140081,-84.434633 -22.911314,34.288545 19.491927,25.678004 -164.677681,-45.847892 43.350688,73.964104 59.621555,-14.472759 -132.028096
63.746613 69.631831,-56.176837 82.279975,-4.024434 -103.331318,23.859107 105.334958,-82.962256 -103.536662,36.103478 -70.463289,-16.291908 137.968897,-44.043391 -46.548869,75.719734 -28.846638,-56.176837 172.279975,-4.024434 -13.331318,63.746613 159.631831,-82.962256 -13.536662,36.103478 19.536711,23.859107 -164.665042,-44.043391 43.451131,75.719734 61.153362,-16.291908 -132.031103
61.952644 70.050078,-57.971286 82.536606,-2.202686 -103.342461,22.039668 105.343800,-81.365394 -97.541234,37.917573 -70.410507,-18.110481 137.968151,-42.237675 -46.461698,77.460487 -26.863666,-57.971286 172.536606,-2.202686 -13.342461,61.952644 160.050078,-81.365394 -7.541234,37.917573 19.589493,22.039668 -164.656200,-42.237675 43.538302,77.460487 63.136334,-18.110481 -132.031849
60.156242 70.408048,-59.763776 82.833342,-0.380753 -103.353873,20.219734 105.349259,-79.701666 -93.475485,39.730786 -70.348771,-19.928431 137.969985,-40.430792 -46.386278,79.179365 -24.218798,-59.763776 172.833342,-0.380753 -13.353873,60.156242 160.408048,-79.701666 -3.475485,39.730786 19.651229,20.219734 -164.650741,-40.430792 43.613722,79.179365 65.781202,-19.928431 -132.030015
